gene,TCGA-A2-A0T1-01,TCGA-AC-A23H-01,TCGA-AR-A0TX-01,TCGA-AR-A24U-01,TCGA-AR-A254-01,TCGA-BH-A1EV-01,TCGA-BH-A203-01,TCGA-C8-A1HF-01,TCGA-C8-A1HK-01,TCGA-C8-A26X-01,TCGA-C8-A26Y-01,TCGA-C8-A275-01,TCGA-C8-A278-01,TCGA-D8-A1JF-01,TCGA-D8-A1JG-01,TCGA-D8-A1XT-01,TCGA-E2-A1B0-01,TCGA-E2-A1LB-01,TCGA-E9-A1RH-01,TCGA-E9-A248-01,TCGA-EW-A1OV-01,TCGA-EW-A2FR-01,TCGA-GM-A2DB-01,TCGA-GM-A2DH-01
FOXA1,5.71729734079907,7.24855314166745,6.78585753977587,5.5358547066938,5.97539227819343,6.96935194131941,6.53054424718075,6.2578307669362,7.43450128772163,5.66481810543353,6.74408410676003,6.58145822739496,6.22646187389965,6.11020134265794,5.34722192580598,6.26013304602141,5.78540711851697,6.68654995536569,4.44137565576484,6.0252547260986,5.90511373346084,4.9348557056094,5.77991780945301,6.69301904831444
GATA3,5.57291392747622,7.2355950552721,6.85196357141737,4.38023128179232,6.64680721487429,7.655522855611,6.82086517323212,7.44058086773709,5.77039024885854,4.05475715109236,4.6396634923821,6.72729510577353,6.14479183905674,3.56476267609883,3.97376082694868,5.91052313257666,2.7648654665048,4.6059351284205,1.96494563460961,3.95857133691665,6.99183042980271,5.47202086891391,1.35231296170262,8.03901527688898
GOLGB1,3.87270971147406,5.52361336381314,4.63370533313396,4.94513251283765,4.45524841946796,5.46667466727945,3.53158261452874,3.45332397267132,4.04812916738091,3.95314049449249,4.29143777905211,4.24411675644653,4.60317151983054,4.68769396365852,5.12660450404823,5.41526231830802,4.77936751313179,4.72334955846386,5.33856912067856,4.89551307933135,4.53473471421395,4.25901352963802,3.44248290461049,4.67117523521687
GRIN2A,0.0070811082595392,0.0182280577193067,0.0142606844254236,0.0221088769642864,0.0111821133588881,0.0829494051005694,0.0467429963754675,0.01449472562633,0.0299526828611733,0.0610554076345414,0.0075461285399441,0.0218213069622468,0.0807123018626004,0.0262922968857004,0.0742950079238208,0.0466856131189723,0.133992253152869,0.189776927093706,0.232863390700852,0.0494704234821996,0.066888726344985,0.0742940273058732,1.06135040324105,0.0790531707016975
HECW1,0.0321404954601702,0.0468251618164948,0.0875153074531534,0.0501226806040018,0.049261615636006,0.237602073305524,0.0095647729025554,0.0784249665399283,0.0318156891332917,0.0563895181170821,0.0579970804822992,0.0304370059056886,0.11343070671493,0.0908344229065188,0.0977913685476733,0.0595329970884961,0.0409193060215032,0.066491627462603,0.0537496728806082,0.39141974014756,0.0275429246320666,0.0979812600902973,0.0331924454931375,0.0154194837047279
HERC1,2.1474786351952,2.54059297127246,2.52212544251526,3.38265830874117,3.28683423088707,2.81350615782666,2.24530768621531,1.63799135834168,2.59985979331873,2.19408916065329,2.15277520841847,2.66080700757752,2.12912004585833,2.45281195885138,2.91214458886337,2.49546564828683,2.84058081235563,1.92958979546187,2.08976765529144,2.8679431643563,2.40808799940771,2.45879772118025,1.49711497536267,3.00956311965525
HERC2,1.90502540791835,2.35204515161354,1.85555231567857,2.75407718520254,2.43764487641075,1.47104349388587,1.73385050021918,1.50227800262693,1.85524563651865,1.89234901352469,2.12911327876578,2.2608076220465,1.97957363903483,1.96966517022804,2.76608156547209,2.32774534805704,2.26868696845487,1.96423556866681,2.24249999741298,2.01754524194011,1.8392003786535,2.05133392631829,1.689899303987,1.83840954537585
HTT,2.23532488784968,3.12983178123919,3.1444273578887,3.24541913103579,3.10458100525675,2.86779484191967,1.93197943013842,1.87566009606971,2.18976501646493,2.31251669007178,3.48002064350491,2.02767224626458,2.16153735029688,3.28816001526425,2.91121901674759,2.40593368541466,3.42678101516079,2.46564979724375,2.97478275936412,2.55976925967338,2.72022075154422,2.5115547087606,2.4457466939704,2.97479622067299
HUWE1,4.39854958793898,4.4592711278622,4.49207881901027,5.09138788696634,4.40573095158287,5.36175282171339,4.21954289675397,4.10633605135197,4.7373883583546,3.94428079236258,4.44486542872162,4.55605510062353,4.54856375988687,4.78508115552113,5.56968219916259,4.65689185442372,5.22079840386172,4.20260985687405,4.80828283692638,4.38879662687166,4.30354773560933,4.23154865079179,4.19162486484074,5.20028988692198
HYDIN,0.0663168567776693,0.005001981858054,0.0116965147283438,0.475964071272402,0.0977973743410782,0.302292463719913,0.0625555312875418,0.0041391145099748,0.0761954416567553,0.0211387378471541,0.0565704788951576,0.014937140320364,0.113374359481049,0.0187842251408661,0.0187415474348984,0.129766448966015,0.0078810677242827,0.0492968699967734,0.0150008474644561,0.117298886447106,0.0948431682869135,0.0548361216219675,0.064112918230414,0.0912204770795088
