gene,TCGA-A1-A0SK-01,TCGA-A1-A0SO-01,TCGA-A1-A0SP-01,TCGA-A2-A0ST-01,TCGA-A2-A0SX-01,TCGA-A2-A0T0-01,TCGA-A2-A0YE-01,TCGA-A2-A0YJ-01,TCGA-A2-A0YM-01,TCGA-A2-A1G1-01,TCGA-A2-A25F-01,TCGA-A7-A13D-01,TCGA-A7-A13E-01,TCGA-A7-A26G-01,TCGA-AC-A2BK-01,TCGA-AN-A0XU-01,TCGA-AO-A124-01,TCGA-AO-A128-01,TCGA-AO-A1KR-01,TCGA-AR-A0TP-01,TCGA-AR-A0TU-01,TCGA-AR-A0U0-01,TCGA-AR-A1AI-01,TCGA-AR-A1AJ-01,TCGA-AR-A1AQ-01,TCGA-AR-A1AR-01,TCGA-AR-A1AY-01,TCGA-AR-A24Q-01,TCGA-AR-A251-01,TCGA-AR-A256-01,TCGA-AR-A2LR-01,TCGA-B6-A0I1-01,TCGA-B6-A0RT-01,TCGA-B6-A0RU-01,TCGA-B6-A0WX-01,TCGA-B6-A0X1-01,TCGA-BH-A0B3-01,TCGA-BH-A0E0-01,TCGA-BH-A0RX-01,TCGA-BH-A0WA-01,TCGA-BH-A1F0-01,TCGA-BH-A1F6-01,TCGA-BH-A1FC-01,TCGA-C8-A1HJ-01,TCGA-C8-A27B-01,TCGA-D8-A1JK-01,TCGA-D8-A1JL-01,TCGA-D8-A1JM-01,TCGA-D8-A1XK-01,TCGA-D8-A1XQ-01,TCGA-D8-A27F-01,TCGA-D8-A27M-01,TCGA-E2-A14N-01,TCGA-E2-A1AZ-01,TCGA-E2-A1II-01,TCGA-E2-A1LG-01,TCGA-E2-A1LH-01,TCGA-E2-A1LI-01,TCGA-E2-A1LK-01,TCGA-E2-A1LL-01,TCGA-E9-A1N8-01,TCGA-E9-A1N9-01,TCGA-E9-A22G-01,TCGA-E9-A243-01,TCGA-E9-A244-01,TCGA-EW-A1P4-01,TCGA-EW-A1P8-01,TCGA-EW-A1PB-01,TCGA-EW-A1PH-01,TCGA-GM-A2DF-01,TCGA-HN-A2NL-01
CBFB,4.47204897997025,4.04278645018352,5.1680825926197,4.35854306948402,4.51398648371502,4.09249968906953,4.27411070343181,4.47767713684852,4.055839346409,4.5611317052436,4.61991766971903,3.62350109373461,4.31549332167053,4.44646820208602,4.748415262619,4.52470082371295,4.4925684596994,3.91788581703013,3.56789108673745,4.37256961550392,4.70666292687446,4.32651216018606,4.65363844614486,4.42678326661624,4.30612353479177,4.46245833423048,4.0104707648162,4.43459944126373,3.62597764303978,4.72993487556604,4.51529585715008,3.92097037090941,4.4836457216941,4.28074716873073,3.67545549913609,4.08454219657084,3.73564763983356,3.26358795904975,4.36855422213826,4.17599791669559,4.41437265234634,4.3902472801181,3.52932890525853,5.49518372054426,4.76130176094171,4.14966045099173,4.46348186467936,4.15217580550804,4.45794019608245,3.83004595458362,4.9685039266796,4.21840674231686,4.40007109640795,4.76694726168695,4.21406511480274,4.27185964569407,3.99085216211565,4.62431775485958,3.58274692904546,4.31898227563863,4.35586628383343,4.07815873379455,4.09723725083102,4.37912487188211,4.56101624578329,4.83693277852301,4.02553808553046,3.5892363899663,4.21100589842153,4.3121266267104,4.10765824461485
CDH1,4.64164212598272,5.29398981956368,6.72680220842318,6.0650567014627,5.69365973915291,5.90638798351763,5.59831472750165,6.82772478102886,6.07559290659906,7.4386621432663,4.58081278734235,6.30979210652767,5.40098140892505,5.04695864786506,3.86613567754882,5.38990713329389,6.06169471088255,5.97991514840213,4.75035180834555,6.40480762182784,5.41864951707334,5.13062618571996,7.00755402217447,6.10606918865139,4.84659317982544,5.34940917065063,6.37867863097749,5.82158714142703,5.23836542356477,6.64716994567036,4.53725698610261,6.12032473278145,5.85829944034513,6.42143452569951,5.91383069232733,5.98351455885918,5.60784479511099,6.33231898719332,6.4152278776764,6.11295191354543,5.14056765053379,6.05493232478687,5.32705162627685,6.31096263592359,6.29447160777504,6.90678904604463,5.98277315859746,6.44749069458487,4.65319220243148,6.35444005353791,6.0381521136537,5.82045507626619,5.3492613845017,5.76198467969951,5.62111115199501,3.10548639193901,6.02013154676003,6.07219377654087,6.54141987229072,6.35922184627108,6.02239360993636,7.45044409134536,5.22440186934933,4.73427380309876,6.9644244671188,5.59739717170433,5.81281563769567,5.2464810654214,6.36266971510252,5.96158200437873,4.15285836426404
CENPE,2.42655745646076,3.89280758041516,2.18670583308972,1.72911297406711,1.88427656695191,2.18191391876598,2.21475051115992,2.01316123942595,3.12234377005163,2.76649527719301,2.38429601262107,2.63286987641269,2.43366624611721,1.85461456946362,2.78368482573725,2.20734607695634,2.28258121428206,2.02482409985569,2.20925155740177,1.43291876119128,3.75356859214635,2.25941511308798,2.99593240337539,3.01482530714354,2.17358923600251,3.49771113859149,2.66536467847364,1.723132635854,2.32530422486642,3.99293628459821,2.51840908234674,1.20138959515735,1.76135829183798,2.14029919953357,1.14447627731894,2.93211957744871,2.21173243574767,2.15283856200918,1.51704230219325,2.05468905153107,2.32875515448868,1.89363981219096,3.32129452600559,2.65800670786211,2.96185363598492,1.40350937622557,2.33215232881792,1.74753783494377,2.99744922231583,1.01883038597801,2.54988395823488,2.23008208437347,2.7443525989189,3.62412419174179,2.19749394595258,2.24198442625476,1.54967960833972,2.7455947302429,2.17544760093648,2.4792418573789,1.57866682726319,2.82490467710009,3.16288527887214,1.84155127414455,2.21878990677356,2.4114236228828,2.17824019299862,1.84081277812033,2.21617318088894,1.60202998618822,2.1449641995101
CEP350,2.45456029275609,3.04209911801346,2.4113247288383,2.80021964226983,3.32488557070437,3.07431741834064,2.78796207082751,3.30664762058444,3.2712317611858,2.97769777173141,3.37924488339711,3.2566782179459,4.0800455834389,3.88086221484805,3.91159323277917,3.34361619099416,3.4921651478837,3.59391453295385,2.19631067451718,3.33610138907192,3.05522509625624,2.87780852657181,3.43842048928423,3.683255584359,2.39479736452944,4.02038395297627,3.91585884665051,3.08694519958212,3.4943810906446,3.31473747553742,3.41497257334011,2.19239266407813,2.92808672693157,2.80475254549402,3.00694343350022,2.43574640530018,2.72099752323063,3.38735562652007,2.39024755949467,2.88036410995467,3.54371174841233,2.84602756329191,3.79100524625999,3.1956173303537,3.26032930358057,2.20482802212655,3.22404689974572,3.12829933905218,3.04709292248837,2.52908735290895,4.00513262999887,3.3414867906073,2.14888430126789,3.47589601251179,3.31269885068565,2.99892197434311,2.31976789128156,3.16878798303768,2.55809663282509,2.18419050839616,3.10116930592642,3.3436747638729,2.87608186441518,3.6391205506542,2.08443442576089,2.5020619359131,2.45494757850863,2.30542217395127,2.65927960006482,2.09100684222362,2.11046865766678
CHD4,6.99405047840184,5.8841367264481,6.64499205979961,5.78268094347571,6.0739761597173,5.04304924164527,6.60740957366996,5.45678866500413,6.35204532368942,5.7350085006431,5.60712614071617,5.41085397702883,6.10994512470659,5.2688339518512,5.59440716311249,5.92761271960585,5.93749545416432,5.75781256545587,5.01144354368036,5.71144936970734,5.277251659666,5.14880952761146,5.57106957379863,5.66856108336386,5.77653327386214,5.55815779200504,6.38071067656396,6.02037134421633,5.02847003619531,5.80899432129111,6.28599386963685,5.16236860194039,5.63407064113863,5.37989023614659,4.95897844403934,6.38806685711951,5.32585230941775,5.56938461599639,4.92629743646718,5.618613893579,5.08943354589595,5.31775293883374,5.48762653121575,5.46992138263616,5.7670062478316,5.52764204289103,5.89543256061148,5.5187849737499,5.58594783876063,5.04726357488487,5.81062986729766,5.51753956398735,5.27852436390916,6.15091352520307,6.12089755469899,6.17648866320744,4.97049996517786,5.37999634236882,5.10280658801629,5.77795851384736,6.55641705701831,6.05245845416178,6.03463856736407,5.1565845104879,5.40802358179968,5.91537642047069,5.70300102884439,5.22213855363126,5.65083002380723,4.93593803447955,5.71722775847471
CHD7,3.11664517640842,0.106800459319204,2.64215068433338,2.00621948865916,2.64441614780124,2.25801551655047,2.07852028856666,3.41273088331648,4.05242374867909,2.51056059185596,2.38247539283608,3.21672650885265,2.83234753116979,2.58717915150223,1.74411878922723,1.97143796127131,1.77149159587596,0.907432931650638,1.4812721045504,2.92896438421747,2.78992960897464,2.68332555902282,2.89149133593392,1.63571914995103,1.83600940323478,2.52835979563593,3.11444287117068,2.23682047730982,2.96971066185395,2.84298982480719,1.67725370190421,2.19589904304804,2.2099066937312,1.80736734412368,2.12675970822182,2.30919473069481,1.76209836076224,2.3407527600745,3.07896966987547,3.20630895308982,2.43668407961073,2.43400036564031,3.52312310119653,3.30699139606581,1.75158702236882,1.38941265904554,3.93430057481146,1.58422241248117,2.39418913514248,1.84878173958581,2.71989303340329,2.22394436562918,2.71433811082394,3.37797915824211,2.29754953585228,1.26188535499463,2.0782749530592,3.51420688475292,3.42189377184519,1.03928274537647,1.2768717607558,2.1406849788208,1.80984441059951,1.9934824652413,2.25959811319387,1.91435887655413,2.08217117029562,0.733988923793386,2.98772351550943,2.0204168416589,1.93217057127067
COL14A1,0.798451922663946,1.35699562641689,2.27486969583352,3.19854698869952,3.00563330258667,0.766568361872117,5.33516549701764,1.3655154117827,1.33454219534248,2.14268448317932,5.01432780033989,1.37529243036151,1.56155496202991,5.04853282999676,1.5541409774138,3.24368672738164,0.483263709002839,1.35472278642139,1.69459240427347,0.636361063540908,0.534990946463934,1.34158374616623,1.24894408054479,4.22254060459632,2.11209222813971,3.40851420520184,2.83373366990075,3.65958461696124,2.50642480089625,3.99936556900002,4.62019562728383,0.189399768996139,3.26862429445538,3.97873042460932,5.49718364895576,1.3817378452405,1.83368812862903,1.86626904562086,5.91939179537185,1.15420864000108,4.87369939611317,2.84960301614378,0.457287958891066,2.11335257756363,0.738161183138752,1.95342263145333,2.43095586951372,0.924638513136963,3.47664223646156,0.898883533179065,3.37791926188751,3.16894337313771,1.86469191142433,3.7754247906809,1.10616952360601,0.348782595961233,2.21043730773236,0.929101707005386,0.508201010638354,2.37033592950685,1.40541812174863,3.96858621206474,0.589087793721799,4.57435633761276,2.38918039301463,1.71202656757795,2.02252388008068,0.491207416086603,1.50811810507317,2.00496844040246,1.13837453221831
CREBBP,2.99141926590585,3.51692938706069,3.03304606258185,3.23369859550845,3.22709276905906,2.84791892918118,4.78964344498509,3.94209799692749,3.78782299617736,3.12700381422405,3.30305691977893,2.76981253547482,3.5585159191579,3.06443889814442,3.08753546887439,3.96375858107584,4.57448309767008,3.23629513822716,2.47290115040764,3.79563978363151,2.6199336150086,2.93856319338574,2.68614472116183,3.75040985065215,2.61171268557156,1.84223122641555,4.09606332397962,4.09628260944781,3.84811988266006,3.70142795792731,3.3451468537821,2.39850312909115,3.63509755048386,3.50722446821664,3.20272828423424,3.70424643616615,3.57684448207835,2.45310617983826,2.2812447970791,3.44321361988675,3.22779885231164,1.22033258725072,3.66163241536152,3.2777009820101,3.19443379951521,3.1659688161991,3.59117485766556,3.58044098096207,3.2747497142389,3.13022670273841,3.22823755033291,3.40356664092696,2.49267880367362,3.30535484491515,3.41208093846901,3.3277335147996,2.38943525302251,3.02472680292422,2.49811450312997,3.52684501274147,3.48647441998336,3.58389814699884,2.5121107692379,3.21227599090453,3.10070187549656,3.43023519526713,2.7549832649644,2.5154194495479,3.08525813126516,2.51112919032311,2.85768168476775
CTCF,4.61840692460994,4.73619402678269,4.14191138842299,4.44420749565848,4.68467569790668,4.37412331710359,4.08665207971308,4.27192672702182,4.1100804415861,4.06318914837155,4.41003824837748,3.74582525705474,4.15010896785008,4.35854203626691,4.43358172115476,4.31866574448577,4.46871449633895,4.34243476270322,3.28669977937495,4.29905519075695,4.15727602710049,4.21893036596109,4.5768488981079,4.56036799415847,4.04046580135438,4.18165692033608,4.10014355607895,4.49078092170971,3.59994624719286,4.48888958008041,4.54052044731728,3.56687400569808,4.53502150984282,4.67216226973183,3.91071173913351,4.10536451139451,4.05069431578056,3.68824102075771,3.91662974774202,4.12982721942136,4.18725546084201,3.93053216628107,4.35474073333175,4.34869729114554,4.78734856835787,4.09540792073575,4.18593836972897,4.32328028073952,4.63251044252647,4.48357992350062,4.57478264552349,4.03492800804184,4.48961634869371,4.38550588443816,4.21415970450886,4.68537767214808,3.34947567647581,4.44358555072619,3.47152529627339,4.2534999440013,4.1970752911032,4.82049334472396,4.0086040946697,4.21443780424233,3.90692826572126,3.98097624007653,3.97511120457337,3.45946329513798,4.54432348380736,3.36389271605089,3.96348507254601
CUBN,0.0953900917338164,0.241265496784929,0.186805245833874,0.555451958145517,0.39488484423683,0.247484965786376,0.0692526868778989,0.36693528380284,0.404079322575731,0.299326728628537,0.329703323826925,0.585417214709612,0.733803399958599,1.19019481584495,0.382747219159724,0.268123709967597,0.090265114244348,0.320075267831547,0.137471308551923,0.398457579091788,0.196835811204586,0.153736022470836,0.188994086107527,0.224645749407561,0.149159686439228,0.208734829452849,0.32971008731694,0.330850096065195,0.331623629539816,0.227829413012285,0.993872576767102,0.0431296269172066,0.476421257615686,0.229046627042253,0.202610163765303,0.0929592012064925,0.305522534833392,0.0679269658640094,0.358176245208706,0.531134682464669,0.461015783914927,0.240279632793862,0.0806447751393805,0.239142802760088,0.292203900589996,0.161968725743139,0.620870689639309,0.0688735240358526,0.0648996738837563,0.312768720231437,0.94151253682884,0.558322772848632,0.138310262851666,0.349083523658757,0.159537721816826,0.0305878628354431,0.664603594562902,0.619889854490787,1.15384632233326,0.140392220808461,0.320276013534361,0.193968460770579,0.632433357906004,0.324816312491533,0.213874878685486,0.110677046794023,0.0804597478950598,0.0679415298318995,0.26767821532451,0.349857184300744,0.337272894446099
