sample,TCGA-A7-A0CH-11,TCGA-E9-A1RC-11,TCGA-A7-A0DB-11,TCGA-BH-A0H9-11,TCGA-BH-A0E0-11,TCGA-BH-A0HA-11,TCGA-BH-A18P-11,TCGA-E9-A1N4-11,TCGA-BH-A18U-11,TCGA-E2-A1LS-11,TCGA-AC-A2FM-11,TCGA-BH-A18M-11,TCGA-BH-A0B3-11,TCGA-BH-A0C0-11,TCGA-BH-A0H7-11,TCGA-BH-A0BM-11,TCGA-E2-A1BC-11,TCGA-BH-A0DG-11,TCGA-BH-A0B7-11,TCGA-BH-A1ET-11,TCGA-BH-A0B8-11,TCGA-E2-A15I-11,TCGA-BH-A18L-11,TCGA-BH-A0DZ-11,TCGA-E9-A1N5-11,TCGA-E9-A1N6-11,TCGA-BH-A18R-11,TCGA-BH-A1EO-11,TCGA-AC-A23H-11,TCGA-BH-A18N-11,TCGA-A7-A0CE-11,TCGA-BH-A0AY-11,TCGA-E9-A1ND-11,TCGA-BH-A1FH-11,TCGA-E9-A1RF-11,TCGA-BH-A1F0-11,TCGA-BH-A1FD-11,TCGA-AC-A2FF-11,TCGA-E2-A15K-11,TCGA-BH-A0DQ-11,TCGA-BH-A0H5-11,TCGA-E9-A1RI-11,TCGA-BH-A209-11,TCGA-E9-A1RB-11,TCGA-BH-A0DH-11,TCGA-E9-A1RD-11,TCGA-BH-A18Q-11,TCGA-BH-A0BJ-11,TCGA-E9-A1R7-11,TCGA-BH-A1FG-11,TCGA-A7-A13G-11,TCGA-BH-A0DK-11,TCGA-BH-A1FC-11,TCGA-E9-A1NG-11,TCGA-BH-A1EU-11,TCGA-BH-A0BQ-11,TCGA-GI-A2C9-11,TCGA-E9-A1NA-11,TCGA-BH-A0DV-11,TCGA-BH-A1FU-11,TCGA-BH-A1F2-11,TCGA-BH-A18V-11,TCGA-BH-A1FM-11,TCGA-BH-A0AU-11,TCGA-BH-A0BT-11,TCGA-BH-A204-11,TCGA-BH-A1FB-11,TCGA-A7-A0DC-11,TCGA-BH-A18S-11,TCGA-E2-A153-11,TCGA-BH-A1FE-11,TCGA-BH-A0BC-11,TCGA-BH-A1FR-11,TCGA-E2-A1LB-11,TCGA-BH-A1EW-11,TCGA-BH-A208-11,TCGA-E9-A1RH-11,TCGA-BH-A0BW-11,TCGA-BH-A0BS-11,TCGA-BH-A1FN-11,TCGA-BH-A0HK-11,TCGA-BH-A0AZ-11,TCGA-BH-A0DO-11,TCGA-BH-A0BA-11,TCGA-BH-A0E1-11,TCGA-BH-A1EN-11,TCGA-E2-A158-11,TCGA-E2-A15M-11,TCGA-BH-A0C3-11,TCGA-E9-A1N9-11,TCGA-GI-A2C8-11,TCGA-BH-A0DP-11,TCGA-BH-A0BV-11,TCGA-A7-A13F-11,TCGA-BH-A1F8-11,TCGA-BH-A18J-11,TCGA-BH-A1FJ-11,TCGA-BH-A203-11,TCGA-E2-A1L7-11,TCGA-BH-A1F6-11,TCGA-E2-A1LH-11,TCGA-BH-A0BZ-11,TCGA-A7-A0D9-11,TCGA-BH-A0DL-11,TCGA-BH-A0DT-11,TCGA-BH-A0DD-11,TCGA-BH-A0B2-11,TCGA-BH-A18K-11,TCGA-E2-A1IG-11,TCGA-BH-A0B5-11,TCGA-E9-A1NF-11,TCGA-A7-A13E-11,TCGA-AC-A2FB-11,TCGA-BH-A1EV-11
TRPM6,5.7658,5.5044,5.2907,5.577,4.007,5.2287,4.801,5.8513,6.0152,4.2318,4.4462,6.5477,5.4574,5.7446,5.1463,5.7468,3.8634,4.9104,5.3006,7.3562,5.3265,4.3711,5.3258,4.6906,4.3105,6.0051,5.0028,6.368,5.3476,6.4149,6.4644,6.5751,5.0628,5.9019,5.8675,6.2987,6.5069,5.1894,6.0652,5.0279,5.1149,5.4173,6.8796,5.9001,5.7295,6.5914,5.8702,6.0699,6.3271,5.8043,5.8152,5.1094,6.9756,6.9436,6.5142,6.1617,6.5965,6.3085,5.5573,6.2175,5.942,5.1595,6.0114,5.3434,5.3766,6.0272,5.1653,5.2932,6.115,6.063,5.865,5.455,5.3547,4.4791,6.0795,5.3322,5.45,6.7305,5.3196,6.6957,5.7851,4.8295,5.7472,6.1243,5.4308,6.9266,4.6302,6.1382,5.0596,5.5174,2.0365,4.6093,5.1763,6.0566,6.4907,5.6444,7.1312,6.812,6.277,6.9208,4.5558,6.3166,5.3831,6.9042,6.2098,6.2565,6.4581,4.3962,5.7375,4.6086,6.0272,6.125,6.4329,6.5813
TTN,7.1596,8.1572,8.9178,6.133,6.633,7.9454,7.9062,8.5086,7.3259,7.2603,5.6109,7.8314,8.6503,7.8443,6.6644,6.4972,7.125,8.6079,8.2594,8.7065,8.4181,8.0695,7.2743,5.9904,7.5901,7.2257,8.5036,7.0083,7.9411,8.3333,7.4381,7.4655,7.3416,7.5498,9.3932,7.1694,7.7336,8.2077,6.624,7.8497,8.4917,9.1077,8.2532,9.0521,6.7912,8.5672,8.8816,7.777,8.8747,7.2946,8.5839,7.6394,7.4872,8.2226,8.5401,8.5013,8.2022,7.3118,7.8788,8.6979,7.8298,6.721,7.9025,8.4212,7.3555,7.9177,8.2004,8.1784,7.6616,8.7222,8.893,7.2316,8.1968,7.6252,8.0782,8.0772,8.2364,8.7689,6.8851,7.4924,6.6506,7.8818,8.1324,8.3633,6.427,7.6352,7.8787,7.2426,8.3889,10.702,19.9518,8.1326,8.1399,8.0339,7.408,7.7229,7.8556,8.5341,7.788,8.8889,6.9323,8.202,8.456,8.5788,8.0909,8.1424,7.4023,7.9332,7.3985,6.9038,8.7539,8.42,7.2759,8.2416
UBR4,11.6595,12.3253,11.9784,11.2464,11.8975,12.0968,12.3119,12.3274,12.341,12.0288,11.3371,12.3833,12.1564,12.4956,11.6904,11.9347,11.4689,12.6276,12.2825,12.5138,12.2505,11.9748,12.1033,11.6262,12.314,12.0068,12.526,11.1943,12.122,12.4135,11.6884,11.7297,11.6426,11.5468,12.2655,11.7499,11.8453,12.2123,11.7316,12.3105,12.2657,12.3893,12.2791,12.4356,11.5235,12.176,12.5331,12.1896,12.3203,10.9999,12.147,12.2455,11.826,12.1248,12.5271,12.35,11.9828,12.4389,12.3953,12.569,12.2754,11.2173,12.4496,12.395,12.1141,11.9613,12.0664,12.0519,11.9637,12.3155,12.2459,12.0072,11.8891,12.2346,12.4495,12.3969,12.1,12.3649,11.7228,11.734,11.8871,12.3935,12.223,12.3961,11.7945,12.129,12.1606,11.9711,12.3224,12.3954,13.0077,12.4019,12.2099,12.1354,11.5298,12.3108,11.6893,12.3859,12.0278,12.3872,12.2046,12.4317,12.3217,12.3901,12.3087,12.4443,11.96,12.742,12.1752,11.7463,12.52,12.2632,11.9116,12.3103
UBR5,11.0393,11.9646,11.4628,10.4672,11.0516,12.2415,12.0199,12.4332,12.1491,12.2166,10.3465,11.87,12.008,12.0976,12.1132,11.467,11.4243,12.4698,12.2717,12.1839,11.7962,11.9092,11.7267,10.9021,12.147,11.9619,12.219,10.879,11.8579,12.0019,11.3841,11.6723,10.6998,11.3209,12.0209,11.5901,11.7501,11.7706,10.5625,12.2338,12.289,12.0231,12.0406,12.3377,11.1507,11.8703,12.2624,12.0794,12.133,11.4401,11.8353,11.8295,11.218,11.7265,12.1983,12.1152,11.6728,11.8084,12.2276,12.1319,12.0006,10.4953,12.2082,12.0843,11.7802,11.7067,11.8332,12.2218,11.6493,11.7825,12.5687,11.7323,11.6409,11.9751,12.4987,12.3422,11.6877,11.9815,11.517,11.4963,11.3374,12.342,12.1832,12.0475,11.558,11.7462,11.6863,11.7237,12.328,11.8307,11.4952,12.1597,11.995,11.8465,11.5279,12.065,12.116,12.2476,11.8462,12.1106,11.7915,11.8401,11.8617,12.0136,12.0581,11.8457,11.5023,12.3454,11.872,11.5935,11.7593,11.7126,11.5886,12.1445
USH2A,2.1326,2.6423,2.3572,1.4841,1.6859,4.7083,2.1418,2.9135,3.447,1.8456,1.3958,2.0304,3.4084,2.9651,0.8265,0.0,3.3609,3.5326,3.2678,3.3469,1.5403,2.2406,2.5961,2.6597,2.9504,1.5158,3.1055,0.9688,3.7574,2.1066,2.8776,2.5317,1.5537,2.4857,2.7264,2.4016,3.1483,2.0264,2.415,3.4415,4.3883,2.1628,2.1192,2.3392,3.3556,3.0267,3.8273,1.787,2.4462,1.9755,2.5558,2.4255,1.985,0.0,2.957,4.2927,2.4474,2.0247,3.2661,3.2311,2.5654,2.4339,2.8291,3.4193,3.0402,1.553,3.1296,2.9115,1.9435,2.584,3.1753,3.522,2.7133,3.1348,3.2779,3.2666,2.2536,2.409,2.7998,1.449,2.2431,3.8492,2.4812,2.8993,2.6757,2.9049,3.54,2.2261,2.9011,1.8622,1.6174,3.1925,3.1116,2.5703,2.9791,2.325,2.9782,2.8783,2.4539,3.0578,2.7549,1.4881,2.1904,2.0533,2.4279,1.8488,2.577,2.9993,2.8769,1.6628,1.5033,1.7822,2.5388,2.9803
USP34,11.085,12.1766,11.6794,10.7295,11.3258,12.1411,12.161,12.2067,11.9924,12.1679,10.474,12.0073,12.0858,12.1202,11.1895,11.5545,11.3584,12.4897,12.1501,12.2893,11.9123,12.0698,11.7362,11.073,12.0723,11.6862,12.2808,11.1268,12.114,12.0199,11.315,11.673,10.6706,11.5357,12.3345,11.6485,11.9069,11.8982,10.8811,12.1338,12.1333,12.5826,12.089,12.2682,11.058,12.0436,12.2629,12.0859,12.3173,11.7716,12.1493,11.8125,11.3888,11.847,12.395,12.3208,11.8208,11.8979,12.0541,12.3562,12.1577,10.8338,12.1707,12.072,11.7041,11.953,11.9456,12.0462,11.6822,11.7486,12.7147,11.6109,11.7329,12.0189,12.3304,12.3568,11.9856,12.2771,11.4069,11.811,11.3648,12.2225,12.1173,11.9548,11.5475,11.7709,11.8399,11.8259,12.1666,11.9451,11.7859,11.9829,12.024,11.831,11.5804,11.8475,12.3242,12.334,11.6299,12.4246,11.7981,11.96,12.115,12.0606,12.1245,12.0796,11.66,12.417,11.9066,11.7876,11.961,11.9813,11.5643,12.386
USP9X,11.6775,12.7189,12.2822,11.4452,11.5606,11.8056,12.3343,12.0466,12.0649,12.4991,10.7766,12.0995,12.0342,12.0641,11.6726,11.7536,11.7369,12.2655,12.0237,12.2177,12.5643,12.3071,11.9826,11.4141,11.9897,11.9212,12.1448,11.7044,12.3554,12.1333,11.6854,11.8061,11.2475,11.689,12.8734,11.8228,12.1769,12.0705,11.1026,12.3086,11.9884,13.0873,12.2858,12.5366,11.4992,12.3722,12.1812,12.0775,12.7188,11.8657,12.4602,12.2285,11.7332,12.2383,12.3789,12.1379,11.7199,12.4131,12.2666,12.0785,12.2089,11.048,12.1583,11.9596,11.9633,12.363,11.9436,12.3202,11.8624,11.9793,12.4316,12.0151,11.8693,11.9489,12.6227,12.0893,12.4665,12.1991,11.5919,11.8999,11.8719,12.0143,12.0234,12.1433,11.6633,12.087,12.2616,12.0854,11.9942,12.1832,13.3017,12.0924,12.0809,12.0545,11.7339,12.0187,12.4245,12.5151,11.5904,12.747,11.7827,12.1771,12.7381,12.2253,12.0636,12.4067,12.0068,12.2285,12.3179,12.2542,12.4376,12.3992,11.9066,12.4031
UTRN,11.8531,13.724,12.8825,11.8436,10.7636,12.4423,13.1391,12.5731,12.6421,13.1282,10.4892,12.7252,12.792,12.57,11.4852,12.0034,12.0177,12.8998,12.4358,13.0902,13.523,13.0139,12.8037,10.885,12.3227,12.2696,12.9418,12.0585,12.7907,12.9524,11.4534,12.6785,11.0982,12.0923,13.5092,12.5435,12.845,11.9715,11.2467,12.6605,12.5375,13.7789,12.8898,13.1203,11.0059,13.2358,12.8911,12.2009,13.5151,12.4554,13.0651,12.13,12.1183,13.188,12.9507,12.3156,12.4729,12.7507,12.8321,12.6066,13.1227,10.5895,12.7835,12.282,12.134,13.1741,12.3634,12.9181,12.4135,12.1047,12.7181,12.4371,12.388,12.1652,12.7477,12.5519,13.049,12.1665,11.9329,12.2047,12.1801,12.7991,12.6629,12.6537,11.7147,12.8724,12.9974,12.8048,12.3132,12.5953,11.6027,12.4846,12.5368,12.6771,12.4589,12.3906,13.1443,13.3286,12.0168,13.1551,12.1278,13.031,13.3136,12.7062,12.49,13.3228,11.9291,12.5956,13.0713,12.8548,13.4595,13.2833,12.4061,12.8187
WDFY3,10.0294,11.0425,11.2263,9.464,9.9691,10.8663,11.2057,11.183,11.116,10.8564,9.2379,11.1717,11.1374,11.3681,10.0511,10.5574,10.1434,11.6013,11.239,11.5515,10.8663,11.1723,10.8168,9.8646,11.1105,10.6289,11.2869,10.1093,11.2007,11.2613,10.3391,10.6234,9.6066,10.6048,11.5681,10.6957,10.6988,10.9601,9.6529,11.2553,11.1528,11.2709,11.2745,11.6524,9.6045,11.038,11.3393,11.1279,11.4451,10.7358,11.3334,11.2477,10.3881,11.0504,11.652,11.1935,10.998,11.1439,11.2686,11.3724,11.2128,9.2964,11.2714,11.1789,10.8624,11.015,11.0598,10.809,10.806,10.9426,11.5499,10.5993,11.0576,10.9715,11.5731,11.2341,10.9961,10.9009,10.3135,10.6234,10.4288,11.4188,11.0798,11.1972,10.4997,10.8659,10.9938,11.1387,11.0686,11.21,10.7488,11.1384,11.2537,11.0011,10.7076,10.97,11.2156,11.4617,10.7119,11.5815,10.8697,11.2511,10.9398,11.2643,11.2459,11.2217,10.6901,11.6112,10.9967,10.1756,11.555,11.1214,10.6477,11.5265
XIRP2,1.7034,0.7648,0.0,0.0,0.5296,0.4911,0.5126,0.9192,0.5575,0.0,0.8605,0.9118,1.0218,0.389,1.3487,0.0,2.4006,0.0,0.5176,0.5943,0.0,0.0,0.0,0.0,0.0,0.0,0.7083,0.3095,1.2817,0.0,0.3978,0.0,0.0,0.5957,0.8501,0.0,0.0,0.8784,0.0,0.3675,0.5013,0.4713,0.0,3.5767,0.0,0.3904,1.8129,0.0,0.4901,1.6298,0.0,2.4255,0.6706,0.0,2.4074,0.0,1.5405,0.0,0.4132,0.6082,0.6587,0.0,0.0,0.8546,0.0,0.4718,0.0,0.0,0.0,3.7779,0.4322,0.0,1.3311,0.0,0.7106,0.3999,0.0,0.0,0.0,0.0,0.0,0.3838,1.1016,1.5089,0.0,0.0,1.1704,0.0,0.0,5.6851,17.9321,0.0,0.0,0.5351,0.6542,0.5317,0.0,0.0,0.0,1.1192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,0.0,0.0,0.0,0.0,0.3793,0.0
YLPM1,10.7271,10.9919,10.8166,10.0697,11.1576,11.4634,11.078,11.2804,11.1965,11.1077,10.1891,11.1996,11.1168,11.3701,11.0457,11.0919,10.7346,11.4842,11.3211,11.3253,11.1496,10.9613,10.9607,10.8032,11.4601,11.3586,11.3026,10.2512,11.0795,11.1336,10.9978,10.964,10.3906,10.8503,10.9875,11.0259,11.0023,11.2725,10.3437,11.2814,11.2121,11.0948,11.1889,11.1562,11.0557,10.9451,11.3217,11.4841,11.158,10.4178,11.0711,11.2138,10.633,11.0091,11.2484,11.4184,11.2103,11.1527,11.5799,11.4508,11.3477,10.7673,11.4147,11.3606,11.1785,11.0568,10.9986,10.815,10.8493,11.2176,11.4415,11.2876,10.7592,11.2508,11.1317,11.4989,10.9583,11.1582,11.1068,10.995,11.3376,11.6175,11.1744,11.1508,11.2445,11.0049,10.8095,10.9789,11.1989,11.2318,10.4924,11.2358,11.3214,10.907,10.6725,11.1556,11.0443,11.2846,11.178,11.0406,11.1229,11.0439,11.094,11.1747,11.2719,10.9387,11.0773,11.3841,11.2476,10.94,11.051,10.825,10.9093,11.1348
ZFHX4,8.5958,10.2338,10.1221,8.6046,7.2955,7.3032,10.0514,7.3633,8.9119,10.5397,6.6802,9.3535,8.7757,8.6403,7.713,6.3037,9.5006,8.5251,8.629,9.1938,10.5487,10.5501,9.4887,6.5354,9.2319,8.6782,9.9659,9.239,10.096,9.4328,7.6281,9.4334,8.3581,8.4749,10.7523,8.4756,9.196,9.1751,7.8616,9.1099,8.1409,10.0885,9.0964,10.7582,8.0387,10.0482,9.7129,8.5149,10.4986,8.4055,10.5503,8.2949,8.4759,9.5466,9.3843,8.9443,9.1848,9.032,7.981,9.3528,10.1244,8.0051,9.4082,8.1593,7.3957,10.2141,8.347,8.8411,7.8728,8.2016,9.0961,7.6974,9.2259,7.149,9.0997,8.9506,10.4608,7.9718,7.0655,8.8823,8.1347,9.6811,8.5753,9.7331,6.9878,9.6958,9.8421,9.1154,8.693,9.0972,10.1712,8.6277,9.1486,9.4799,8.831,8.4362,9.3292,9.62,8.1476,10.2182,6.9163,9.8196,10.1949,9.1659,8.2201,10.9712,9.0396,8.88,9.4558,9.8263,10.06,10.0959,9.1253,9.8776
