PREX2,HUWE1
BRCA1,MYH9
CDH1,FASN
TP53,ERBB2
CDH1,ERBB2
CDH1,FLNA
CDH1,GOLGB1
BRCA1,TTN
BRCA1,TLN1
PTEN,ITPR3
BRCA1,SF3B1
RUNX1,ARID1A
FOXA1,KDM6A
RUNX1,MED12
CDH1,NOTCH2
CDH1,MYH9
FOXA1,YLPM1
CDH1,ANK3
CDH1,DST
BRCA1,AHNAK
CHD4,YLPM1
HECW1,HECW1
SPTA1,SPTA1
ACTN2,GATA3
CDH1,TLN1
CDH1,UTRN
CDH1,TTN
AKAP9,AKAP9
WDFY3,HERC1
CREBBP,GATA3
CHD4,FLG
CDH1,MACF1
HERC1,HERC1
CHD4,PRKDC
CHD4,MKI67
CHD4,MYH9
CDH1,AHNAK
FLNC,FLG
MYH9,MYH9
MKI67,UTRN
MKI67,NF1
MKI67,YLPM1
GRIN2A,LRP1
BRCA1,ARID1A
AHNAK,DOCK11
HERC2,FLNA
MKI67,CTCF
AHNAK,CHD4
MKI67,NIPBL
HERC2,MKI67
CACNA1D,ACTN2
MKI67,SMG1
MKI67,SPEN
PRKDC,SYNE2
BRCA1,MED12
MKI67,CHD7
MKI67,DST
GOLGB1,BIRC6
HUWE1,CDH1
HTT,FASN
HTT,KDM5B
PIWIL1,HTT
HTT,BRCA1
TP53,PIK3CA
DST,ERBB2
HTT,PIK3CA
ATRX,AKT1
ATRX,ATRX
NIPBL,NIPBL
CTCF,PRKDC
TP53,SF3B1
TP53,SYNE2
TP53,MYO16
CTCF,MYH9
GATA3,ZFHX4
UBR5,PRKDC
PTEN,CHD4
TP53,AHCTF1
TP53,DYNC1H1
TP53,CENPE
TP53,CHD4
UBR5,TTN
UBR5,AKT1
TP53,FASN
FMN2,FMN2
PLCE1,TP53
PTEN,FLNA
KDM6A,ASXL3
GATA3,CHD7
CTCF,ARID1A
PIK3R1,UBR5
PTEN,RANBP2
PTEN,PRKDC
PIK3R1,PTEN
PTEN,MKI67
MUC4,MUC4
GATA3,ARID1B
BRCA1,USP9X
CREBBP,HUWE1
TP53,SPTA1
TP53,TCHH
TP53,USP9X
PTEN,SPTA1
PTEN,RYR3
PTEN,SCN10A
TP53,DNAH17
TP53,CEP350
PTEN,USP9X
GRIN2A,HERC2
ATRX,SETD2
BRCA2,DNAH9
BRCA2,DYNC1H1
HTT,ACTN2
BRCA2,F8
CBFB,NCOR1
PTEN,BIRC6
MYH9,AKT1
GATA3,TP53
GATA3,KDM6A
GATA3,CTCF
GATA3,NCOR1
NIPBL,FLNA
ERBB2,DST
GATA3,USP9X
GATA3,ARID1A
ANK3,UTRN
PRKDC,FLNA
USP9X,ANK3
CTCF,CTCF
PTEN,MDN1
TP53,KIF16B
AHNAK,TP53
NIPBL,MED12
TP53,HYDIN
CDH1,PTPRD
TP53,DNAH10
PTEN,ATRX
CREBBP,ATRX
CREBBP,KDM6A
NIPBL,SF3B1
